sudo journalctl -u shelfeye -n 50 --no-pager
Jan 30 10:00:01 NaniwaTanaCheck pi-startup.sh[66115]: [CORS] Blocked request from origin: http://192.168.59.249:5000
Jan 30 10:00:01 NaniwaTanaCheck pi-startup.sh[66115]: [Error Handler] Error: Not allowed by CORS
Jan 30 10:00:01 NaniwaTanaCheck pi-startup.sh[66115]:     at origin (file:///home/naniwa/ShelfEye/dist/index.js:9508:14)
Jan 30 10:00:01 NaniwaTanaCheck pi-startup.sh[66115]:     at /home/naniwa/ShelfEye/node_modules/cors/lib/index.js:219:13
Jan 30 10:00:01 NaniwaTanaCheck pi-startup.sh[66115]:     at optionsCallback (/home/naniwa/ShelfEye/node_modules/cors/lib/index.js:199:9)
Jan 30 10:00:01 NaniwaTanaCheck pi-startup.sh[66115]:     at corsMiddleware (/home/naniwa/ShelfEye/node_modules/cors/lib/index.js:204:7)
Jan 30 10:00:01 NaniwaTanaCheck pi-startup.sh[66115]:     at Layer.handle [as handle_request] (/home/naniwa/ShelfEye/node_modules/express/lib/router/layer.js:95:5)
Jan 30 10:00:01 NaniwaTanaCheck pi-startup.sh[66115]:     at trim_prefix (/home/naniwa/ShelfEye/node_modules/express/lib/router/index.js:328:13)
Jan 30 10:00:01 NaniwaTanaCheck pi-startup.sh[66115]:     at /home/naniwa/ShelfEye/node_modules/express/lib/router/index.js:286:9
Jan 30 10:00:01 NaniwaTanaCheck pi-startup.sh[66115]:     at Function.process_params (/home/naniwa/ShelfEye/node_modules/express/lib/router/index.js:346:12)
Jan 30 10:00:01 NaniwaTanaCheck pi-startup.sh[66115]:     at next (/home/naniwa/ShelfEye/node_modules/express/lib/router/index.js:280:10)
Jan 30 10:00:01 NaniwaTanaCheck pi-startup.sh[66115]:     at internalNext (file:///home/naniwa/ShelfEye/node_modules/helmet/index.mjs:527:6)
Jan 30 10:00:01 NaniwaTanaCheck pi-startup.sh[66115]: [CORS] Blocked request from origin: http://192.168.59.249:5000
Jan 30 10:00:01 NaniwaTanaCheck pi-startup.sh[66115]: [Error Handler] Error: Not allowed by CORS
Jan 30 10:00:01 NaniwaTanaCheck pi-startup.sh[66115]:     at origin (file:///home/naniwa/ShelfEye/dist/index.js:9508:14)
Jan 30 10:00:01 NaniwaTanaCheck pi-startup.sh[66115]:     at /home/naniwa/ShelfEye/node_modules/cors/lib/index.js:219:13
Jan 30 10:00:01 NaniwaTanaCheck pi-startup.sh[66115]:     at optionsCallback (/home/naniwa/ShelfEye/node_modules/cors/lib/index.js:199:9)
Jan 30 10:00:01 NaniwaTanaCheck pi-startup.sh[66115]:     at corsMiddleware (/home/naniwa/ShelfEye/node_modules/cors/lib/index.js:204:7)
Jan 30 10:00:01 NaniwaTanaCheck pi-startup.sh[66115]:     at Layer.handle [as handle_request] (/home/naniwa/ShelfEye/node_modules/express/lib/router/layer.js:95:5)
Jan 30 10:00:01 NaniwaTanaCheck pi-startup.sh[66115]:     at trim_prefix (/home/naniwa/ShelfEye/node_modules/express/lib/router/index.js:328:13)
Jan 30 10:00:01 NaniwaTanaCheck pi-startup.sh[66115]:     at /home/naniwa/ShelfEye/node_modules/express/lib/router/index.js:286:9
Jan 30 10:00:01 NaniwaTanaCheck pi-startup.sh[66115]:     at Function.process_params (/home/naniwa/ShelfEye/node_modules/express/lib/router/index.js:346:12)
Jan 30 10:00:01 NaniwaTanaCheck pi-startup.sh[66115]:     at next (/home/naniwa/ShelfEye/node_modules/express/lib/router/index.js:280:10)
Jan 30 10:00:01 NaniwaTanaCheck pi-startup.sh[66115]:     at internalNext (file:///home/naniwa/ShelfEye/node_modules/helmet/index.mjs:527:6)
Jan 30 10:00:57 NaniwaTanaCheck pi-startup.sh[66115]: [AlertQueue] Retry processor tick (0 queued, 0 ready for retry)
Jan 30 10:01:57 NaniwaTanaCheck pi-startup.sh[66115]: [AlertQueue] Retry processor tick (0 queued, 0 ready for retry)
Jan 30 10:02:57 NaniwaTanaCheck pi-startup.sh[66115]: [AlertQueue] Retry processor tick (0 queued, 0 ready for retry)
Jan 30 10:03:57 NaniwaTanaCheck pi-startup.sh[66115]: [AlertQueue] Retry processor tick (0 queued, 0 ready for retry)
Jan 30 10:04:57 NaniwaTanaCheck pi-startup.sh[66115]: [AlertQueue] Retry processor tick (0 queued, 0 ready for retry)
Jan 30 10:05:57 NaniwaTanaCheck pi-startup.sh[66115]: [AlertQueue] Retry processor tick (0 queued, 0 ready for retry)
Jan 30 10:06:57 NaniwaTanaCheck pi-startup.sh[66115]: [AlertQueue] Retry processor tick (0 queued, 0 ready for retry)
Jan 30 10:07:57 NaniwaTanaCheck pi-startup.sh[66115]: [AlertQueue] Retry processor tick (0 queued, 0 ready for retry)
Jan 30 10:08:57 NaniwaTanaCheck pi-startup.sh[66115]: [AlertQueue] Retry processor tick (0 queued, 0 ready for retry)
Jan 30 10:09:57 NaniwaTanaCheck pi-startup.sh[66115]: [AlertQueue] Retry processor tick (0 queued, 0 ready for retry)
Jan 30 10:10:57 NaniwaTanaCheck pi-startup.sh[66115]: [AlertQueue] Retry processor tick (0 queued, 0 ready for retry)
Jan 30 10:11:57 NaniwaTanaCheck pi-startup.sh[66115]: [AlertQueue] Retry processor tick (0 queued, 0 ready for retry)
Jan 30 10:12:57 NaniwaTanaCheck pi-startup.sh[66115]: [AlertQueue] Retry processor tick (0 queued, 0 ready for retry)
Jan 30 10:13:57 NaniwaTanaCheck pi-startup.sh[66115]: [AlertQueue] Retry processor tick (0 queued, 0 ready for retry)
Jan 30 10:14:57 NaniwaTanaCheck pi-startup.sh[66115]: [AlertQueue] Retry processor tick (0 queued, 0 ready for retry)
Jan 30 10:15:57 NaniwaTanaCheck pi-startup.sh[66115]: [AlertQueue] Retry processor tick (0 queued, 0 ready for retry)
Jan 30 10:16:57 NaniwaTanaCheck pi-startup.sh[66115]: [AlertQueue] Retry processor tick (0 queued, 0 ready for retry)
Jan 30 10:17:57 NaniwaTanaCheck pi-startup.sh[66115]: [AlertQueue] Retry processor tick (0 queued, 0 ready for retry)
Jan 30 10:18:57 NaniwaTanaCheck pi-startup.sh[66115]: [AlertQueue] Retry processor tick (0 queued, 0 ready for retry)
Jan 30 10:19:57 NaniwaTanaCheck pi-startup.sh[66115]: [AlertQueue] Retry processor tick (0 queued, 0 ready for retry)
Jan 30 10:20:57 NaniwaTanaCheck pi-startup.sh[66115]: [AlertQueue] Retry processor tick (0 queued, 0 ready for retry)
Jan 30 10:21:57 NaniwaTanaCheck pi-startup.sh[66115]: [AlertQueue] Retry processor tick (0 queued, 0 ready for retry)
Jan 30 10:22:57 NaniwaTanaCheck pi-startup.sh[66115]: [AlertQueue] Retry processor tick (0 queued, 0 ready for retry)
Jan 30 10:23:57 NaniwaTanaCheck pi-startup.sh[66115]: [AlertQueue] Retry processor tick (0 queued, 0 ready for retry)
Jan 30 10:24:57 NaniwaTanaCheck pi-startup.sh[66115]: [AlertQueue] Retry processor tick (0 queued, 0 ready for retry)
Jan 30 10:25:57 NaniwaTanaCheck pi-startup.sh[66115]: [AlertQueue] Retry processor tick (0 queued, 0 ready for retry)
naniwa@NaniwaTanaCheck:~ $
