sudo journalctl -u shelfeye.service -n 50 --no-pager
Dec 22 11:38:57 NaniwaTanaCheck pi-startup.sh[85432]: [45B blob data]
Dec 22 11:38:57 NaniwaTanaCheck pi-startup.sh[85432]: [45B blob data]
Dec 22 11:38:57 NaniwaTanaCheck pi-startup.sh[85432]: [45B blob data]
Dec 22 11:38:57 NaniwaTanaCheck pi-startup.sh[85432]: [45B blob data]
Dec 22 11:38:57 NaniwaTanaCheck pi-startup.sh[85432]: [45B blob data]
Dec 22 11:38:58 NaniwaTanaCheck pi-startup.sh[85432]: [45B blob data]
Dec 22 11:38:58 NaniwaTanaCheck pi-startup.sh[85432]: [45B blob data]
Dec 22 11:38:58 NaniwaTanaCheck pi-startup.sh[85432]: [45B blob data]
Dec 22 11:38:58 NaniwaTanaCheck pi-startup.sh[85432]: [45B blob data]
Dec 22 11:38:58 NaniwaTanaCheck pi-startup.sh[85432]: [45B blob data]
Dec 22 11:38:58 NaniwaTanaCheck pi-startup.sh[85432]: [45B blob data]
Dec 22 11:38:58 NaniwaTanaCheck pi-startup.sh[85432]: [45B blob data]
Dec 22 11:38:58 NaniwaTanaCheck pi-startup.sh[85432]: [45B blob data]
Dec 22 11:38:59 NaniwaTanaCheck pi-startup.sh[85432]: [45B blob data]
Dec 22 11:38:59 NaniwaTanaCheck pi-startup.sh[85432]: [45B blob data]
Dec 22 11:38:59 NaniwaTanaCheck pi-startup.sh[85432]: [45B blob data]
Dec 22 11:38:59 NaniwaTanaCheck pi-startup.sh[85432]: [45B blob data]
Dec 22 11:38:59 NaniwaTanaCheck pi-startup.sh[85432]: [45B blob data]
Dec 22 11:38:59 NaniwaTanaCheck pi-startup.sh[85432]: [45B blob data]
Dec 22 11:38:59 NaniwaTanaCheck pi-startup.sh[85432]: [45B blob data]
Dec 22 11:38:59 NaniwaTanaCheck pi-startup.sh[85432]: [45B blob data]
Dec 22 11:39:00 NaniwaTanaCheck pi-startup.sh[85432]: [45B blob data]
Dec 22 11:39:00 NaniwaTanaCheck pi-startup.sh[85432]: [45B blob data]
Dec 22 11:39:00 NaniwaTanaCheck pi-startup.sh[85432]: [45B blob data]
Dec 22 11:39:00 NaniwaTanaCheck pi-startup.sh[85432]: [45B blob data]
Dec 22 11:39:00 NaniwaTanaCheck pi-startup.sh[85432]: [45B blob data]
Dec 22 11:39:00 NaniwaTanaCheck pi-startup.sh[85432]: [45B blob data]
Dec 22 11:39:00 NaniwaTanaCheck pi-startup.sh[85432]: [45B blob data]
Dec 22 11:39:00 NaniwaTanaCheck pi-startup.sh[85432]: [45B blob data]
Dec 22 11:39:01 NaniwaTanaCheck pi-startup.sh[85432]: [45B blob data]
Dec 22 11:39:01 NaniwaTanaCheck pi-startup.sh[85432]: [45B blob data]
Dec 22 11:39:01 NaniwaTanaCheck pi-startup.sh[85432]: [45B blob data]
Dec 22 11:39:01 NaniwaTanaCheck pi-startup.sh[85432]: [45B blob data]
Dec 22 11:39:01 NaniwaTanaCheck pi-startup.sh[85432]: [45B blob data]
Dec 22 11:39:01 NaniwaTanaCheck pi-startup.sh[85432]: [45B blob data]
Dec 22 11:39:01 NaniwaTanaCheck pi-startup.sh[85432]: [45B blob data]
Dec 22 11:39:01 NaniwaTanaCheck pi-startup.sh[85432]: [45B blob data]
Dec 22 11:39:02 NaniwaTanaCheck pi-startup.sh[85432]: [45B blob data]
Dec 22 11:39:02 NaniwaTanaCheck pi-startup.sh[85432]: [45B blob data]
Dec 22 11:39:02 NaniwaTanaCheck pi-startup.sh[85432]: [45B blob data]
Dec 22 11:39:02 NaniwaTanaCheck pi-startup.sh[85432]: [45B blob data]
Dec 22 11:39:02 NaniwaTanaCheck pi-startup.sh[85432]: [45B blob data]
Dec 22 11:39:02 NaniwaTanaCheck pi-startup.sh[85432]: [45B blob data]
Dec 22 11:39:02 NaniwaTanaCheck pi-startup.sh[85432]: [45B blob data]
Dec 22 11:39:03 NaniwaTanaCheck pi-startup.sh[85432]: [45B blob data]
Dec 22 11:39:03 NaniwaTanaCheck pi-startup.sh[85432]: [45B blob data]
Dec 22 11:39:03 NaniwaTanaCheck pi-startup.sh[85432]: [45B blob data]
Dec 22 11:39:03 NaniwaTanaCheck pi-startup.sh[85432]: [45B blob data]
Dec 22 11:39:03 NaniwaTanaCheck pi-startup.sh[85432]: [45B blob data]
Dec 22 11:39:03 NaniwaTanaCheck pi-startup.sh[85432]: [45B blob data]
naniwa@NaniwaTanaCheck:~/ShelfEye $
